"continent","iso","admin_0","admin_1","t_lci","t_med","t_uci","scenario"
"Africa","BWA","Botswana","Kgatleng","1.32","1.57","1.95","Pessimistic"
"Africa","BWA","Botswana","Kweneng","1.32","1.57","1.95","Pessimistic"
"Africa","BWA","Botswana","Lobatse","1.32","1.57","1.95","Pessimistic"
"Africa","BWA","Botswana","North-East","1.32","1.57","1.95","Pessimistic"
"Africa","BWA","Botswana","North-West","1.32","1.58","1.96","Pessimistic"
"Africa","BWA","Botswana","Selibe Phikwe","1.32","1.57","1.95","Pessimistic"
"Africa","BWA","Botswana","South-East","1.32","1.57","1.95","Pessimistic"
"Africa","BWA","Botswana","Southern","1.32","1.57","1.95","Pessimistic"
"Africa","BWA","Botswana","Sowa","1.32","1.57","1.95","Pessimistic"
"Africa","CAF","Central African Republic","Bamingui-Bangoran","5.3","5.6","5.94","Pessimistic"
"Africa","CAF","Central African Republic","Bangui","5.23","5.52","5.85","Pessimistic"
"Africa","CAF","Central African Republic","Basse-Kotto","24.78","27.77","31.58","Pessimistic"
"Africa","CAF","Central African Republic","Haut-Mbomou","7.51","7.93","8.4","Pessimistic"
"Africa","CAF","Central African Republic","Haute-Kotto","7.36","7.76","8.21","Pessimistic"
"Africa","CAF","Central African Republic","Kemo","7.65","8.06","8.51","Pessimistic"
"Africa","CAF","Central African Republic","Lobaye","7.65","8.06","8.51","Pessimistic"
"Africa","CAF","Central African Republic","Mambere-Kadei","5.6","5.85","6.12","Pessimistic"
"Africa","CAF","Central African Republic","Mbomou","11.37","12.07","12.86","Pessimistic"
"Africa","CAF","Central African Republic","Nana-Gribizi","5.92","6.19","6.5","Pessimistic"
"Africa","CAF","Central African Republic","Nana-Mambere","4.72","4.96","5.22","Pessimistic"
"Africa","CAF","Central African Republic","Ombella M'Poko","11.87","12.59","13.4","Pessimistic"
"Africa","CAF","Central African Republic","Ouaka","12.91","13.76","14.74","Pessimistic"
"Africa","CAF","Central African Republic","Ouham","5.23","5.53","5.85","Pessimistic"
"Africa","CAF","Central African Republic","Ouham Pende","3.68","3.89","4.12","Pessimistic"
"Africa","CAF","Central African Republic","Sangha-Mbaere","5.32","5.62","5.96","Pessimistic"
"Africa","CAF","Central African Republic","Vakaga","3.68","3.89","4.13","Pessimistic"
"Africa","CIV","Côte d'Ivoire","Abidjan","2.34","2.44","2.55","Pessimistic"
"Africa","CIV","Côte d'Ivoire","Bas-Sassandra","5.79","6.02","6.26","Pessimistic"
"Africa","CIV","Côte d'Ivoire","Comoe","12.5","13.22","14.03","Pessimistic"
"Africa","CIV","Côte d'Ivoire","Denguele","4.42","4.6","4.8","Pessimistic"
"Africa","CIV","Côte d'Ivoire","Goh-Djiboua","5.83","6.06","6.31","Pessimistic"
"Africa","CIV","Côte d'Ivoire","Lacs","19.15","20.91","23.01","Pessimistic"
"Africa","CIV","Côte d'Ivoire","Lagunes","7.12","7.46","7.84","Pessimistic"
"Africa","CIV","Côte d'Ivoire","Montagnes","5.68","5.92","6.17","Pessimistic"
"Africa","CIV","Côte d'Ivoire","Sassandra-Marahoue","10.18","10.85","11.62","Pessimistic"
"Africa","CIV","Côte d'Ivoire","Savanes","5.5","5.73","5.97","Pessimistic"
"Africa","CIV","Côte d'Ivoire","Vallee du Bandama","40+","40+","40+","Pessimistic"
"Africa","CIV","Côte d'Ivoire","Woroba","24.52","27.25","30.67","Pessimistic"
"Africa","CIV","Côte d'Ivoire","Yamoussoukro","7.25","7.61","7.99","Pessimistic"
"Africa","CIV","Côte d'Ivoire","Zanzan","10.95","11.53","12.17","Pessimistic"
"Africa","CMR","Cameroon","Adamaoua","5.18","5.35","5.54","Pessimistic"
"Africa","CMR","Cameroon","Centre","5.22","5.4","5.59","Pessimistic"
"Africa","CMR","Cameroon","Est","10.02","10.43","10.87","Pessimistic"
"Africa","CMR","Cameroon","Extreme Nord","2.26","2.38","2.51","Pessimistic"
"Africa","CMR","Cameroon","Littoral","4.43","4.59","4.76","Pessimistic"
"Africa","CMR","Cameroon","Nord","3.38","3.52","3.67","Pessimistic"
"Africa","CMR","Cameroon","North West","4.05","4.18","4.33","Pessimistic"
"Africa","CMR","Cameroon","Ouest","3.35","3.48","3.63","Pessimistic"
"Africa","CMR","Cameroon","South West","6.58","6.84","7.11","Pessimistic"
"Africa","CMR","Cameroon","Sud","11.91","12.46","13.06","Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Bas-Uele","40+","40+","40+","Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Equateur","9.57","9.93","10.33","Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Haut-Katanga","11.38","11.88","12.43","Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Haut-Lomami","11.13","11.63","12.17","Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Haut-Uele","17.3","18.48","19.83","Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Ituri","16.49","17.55","18.77","Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Kasai","4.44","4.6","4.77","Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Kasai Central","8.76","9.19","9.67","Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Kasai Oriental","2.04","2.13","2.24","Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Kinshasa","2.02","2.11","2.22","Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Kongo Central","6.6","6.85","7.11","Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Kwango","9.49","9.85","10.24","Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Kwilu","5.36","5.52","5.7","Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Lomami","11.16","11.65","12.2","Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Lualaba","16.22","17.26","18.43","Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Mai-Ndombe","6.42","6.67","6.93","Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Maniema","9.52","9.89","10.28","Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Mongala","11.05","11.54","12.08","Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Nord-Kivu","3.98","4.11","4.25","Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Nord-Ubangi","25.99","28.5","31.54","Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Sankuru","9.61","9.98","10.38","Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Sud-Kivu","2.81","2.92","3.03","Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Sud-Ubangi","14.8","15.65","16.61","Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Tanganyka","11.08","11.57","12.11","Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Tshopo","40+","40+","40+","Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Tshuapa","40+","40+","40+","Pessimistic"
"Africa","COG","Congo","Bouenza","5.09","5.41","5.77","Pessimistic"
"Africa","COG","Congo","Brazzaville","2.9","3.11","3.34","Pessimistic"
"Africa","COG","Congo","Cuvette","7.28","7.71","8.19","Pessimistic"
"Africa","COG","Congo","Cuvette-Ouest","6.67","7.03","7.44","Pessimistic"
"Africa","COG","Congo","Kouilou","7.19","7.61","8.08","Pessimistic"
"Africa","COG","Congo","Lekoumou","6.98","7.38","7.82","Pessimistic"
"Africa","COG","Congo","Likouala","40+","40+","40+","Pessimistic"
"Africa","COG","Congo","Niari","9.17","9.67","10.22","Pessimistic"
"Africa","COG","Congo","Plateaux","6.51","6.86","7.24","Pessimistic"
"Africa","COG","Congo","Point-Noire","4.16","4.39","4.65","Pessimistic"
"Africa","COG","Congo","Pool","7.07","7.48","7.93","Pessimistic"
"Africa","COG","Congo","Sangha","40+","40+","40+","Pessimistic"
"Africa","COM","Comoros","Anjouan","2","2.59","3.69","Pessimistic"
"Africa","COM","Comoros","Moheli","2","2.59","3.69","Pessimistic"
"Africa","COM","Comoros","Ngazidja","2.16","2.61","3.29","Pessimistic"
"Africa","CPV","Cape Verde","Boa Vista","1.22","1.44","1.75","Pessimistic"
"Africa","CPV","Cape Verde","Brava","1.22","1.44","1.75","Pessimistic"
"Africa","CPV","Cape Verde","Maio","1.22","1.44","1.75","Pessimistic"
"Africa","CPV","Cape Verde","Mosteiros","1.22","1.44","1.75","Pessimistic"
"Africa","CPV","Cape Verde","Paul","1.22","1.44","1.75","Pessimistic"
"Africa","CPV","Cape Verde","Porto Novo","1.22","1.44","1.75","Pessimistic"
"Africa","CPV","Cape Verde","Praia","1.22","1.44","1.75","Pessimistic"
"Africa","CPV","Cape Verde","Ribeira Brava","1.22","1.44","1.75","Pessimistic"
"Africa","CPV","Cape Verde","Ribeira Grande","1.22","1.44","1.75","Pessimistic"
"Africa","CPV","Cape Verde","Ribeira Grande de Santiago","1.22","1.44","1.75","Pessimistic"
"Africa","CPV","Cape Verde","Sal","1.22","1.44","1.75","Pessimistic"
"Africa","CPV","Cape Verde","Santa Catarina","1.22","1.44","1.75","Pessimistic"
"Africa","CPV","Cape Verde","Santa Catarina do Fogo","1.22","1.44","1.75","Pessimistic"
"Africa","CPV","Cape Verde","Santa Cruz","1.22","1.44","1.75","Pessimistic"
"Africa","CPV","Cape Verde","Sao Domingos","1.22","1.44","1.75","Pessimistic"
"Africa","CPV","Cape Verde","Sao Filipe","1.22","1.44","1.75","Pessimistic"
"Africa","CPV","Cape Verde","Sao Lourenco dos Orgaos","1.22","1.44","1.75","Pessimistic"
"Africa","CPV","Cape Verde","Sao Miguel","1.22","1.44","1.75","Pessimistic"
"Africa","CPV","Cape Verde","Sao Salvador do Mundo","1.22","1.44","1.75","Pessimistic"
"Africa","CPV","Cape Verde","Sao Vicente","1.22","1.44","1.75","Pessimistic"
"Africa","CPV","Cape Verde","Tarrafal","1.22","1.44","1.75","Pessimistic"
"Africa","CPV","Cape Verde","Tarrafal de Sao Nicolau","1.22","1.44","1.75","Pessimistic"
"Africa","DJI","Djibouti","Ali Sabieh","1.13","1.31","1.57","Pessimistic"
"Africa","DJI","Djibouti","Dikhil","1.13","1.31","1.58","Pessimistic"
"Africa","DJI","Djibouti","Djibouti","1.13","1.31","1.58","Pessimistic"
"Africa","DJI","Djibouti","Obock","1.13","1.31","1.58","Pessimistic"
"Africa","DJI","Djibouti","Tadjourah","1.13","1.31","1.57","Pessimistic"
"Africa","ERI","Eritrea","Anseba","1.5","1.8","2.27","Pessimistic"
"Africa","ERI","Eritrea","Archipelagos","1.49","1.79","2.25","Pessimistic"
"Africa","ERI","Eritrea","Debub","1.49","1.79","2.25","Pessimistic"
"Africa","ERI","Eritrea","Debubawi Keih Bahri","1.49","1.79","2.25","Pessimistic"
"Africa","ERI","Eritrea","Gash Barka","1.5","1.81","2.27","Pessimistic"
"Africa","ERI","Eritrea","Maekel","1.49","1.79","2.25","Pessimistic"
"Africa","ERI","Eritrea","Semenawi Keih Bahri","1.56","1.81","2.15","Pessimistic"
"Africa","ETH","Ethiopia","Addis Ababa","1.83","2.32","3.18","Pessimistic"
"Africa","ETH","Ethiopia","Afar","2.03","2.34","2.76","Pessimistic"
"Africa","ETH","Ethiopia","Amhara","2.06","2.34","2.7","Pessimistic"
"Africa","ETH","Ethiopia","Beneshangul Gumu","2.24","2.4","2.59","Pessimistic"
"Africa","ETH","Ethiopia","Dire Dawa","1.95","2.33","2.92","Pessimistic"
"Africa","ETH","Ethiopia","Gambela","2.29","2.43","2.6","Pessimistic"
"Africa","ETH","Ethiopia","Hareri","2.07","2.34","2.69","Pessimistic"
"Africa","ETH","Ethiopia","Oromia","2.24","2.4","2.59","Pessimistic"
"Africa","ETH","Ethiopia","SNNPR","2.28","2.42","2.58","Pessimistic"
"Africa","ETH","Ethiopia","Somali","2.17","2.39","2.67","Pessimistic"
"Africa","ETH","Ethiopia","Tigray","1.95","2.33","2.92","Pessimistic"
"Africa","GAB","Gabon","Estuaire","7.64","8.45","9.45","Pessimistic"
"Africa","GAB","Gabon","Haut-Ogooue","6.16","6.77","7.51","Pessimistic"
"Africa","GAB","Gabon","Moyen-Ogooue","14.88","16.63","18.83","Pessimistic"
"Africa","GAB","Gabon","Ngounie","16.21","18.12","20.55","Pessimistic"
"Africa","GAB","Gabon","Nyanga","10.96","12.14","13.61","Pessimistic"
"Africa","GAB","Gabon","Ogooue-Ivindo","18.51","21.06","24.41","Pessimistic"
"Africa","GAB","Gabon","Ogooue-Maritime","8.55","9.57","10.88","Pessimistic"
"Africa","GAB","Gabon","Ogooue-lolo","8.72","9.66","10.83","Pessimistic"
"Africa","GAB","Gabon","Woleu-Ntem","26.23","31.19","38.47","Pessimistic"
"Africa","GHA","Ghana","Ashanti","2.35","2.42","2.5","Pessimistic"
"Africa","GHA","Ghana","Brong Ahafo","3.85","3.98","4.11","Pessimistic"
"Africa","GHA","Ghana","Central","4.63","4.77","4.91","Pessimistic"
"Africa","GHA","Ghana","Eastern","5.58","5.78","5.99","Pessimistic"
"Africa","GHA","Ghana","Greater Accra","2.19","2.25","2.32","Pessimistic"
"Africa","GHA","Ghana","Northern","5.66","5.85","6.05","Pessimistic"
"Africa","GHA","Ghana","Upper East","2.95","3.02","3.1","Pessimistic"
"Africa","GHA","Ghana","Upper West","7.11","7.41","7.74","Pessimistic"
"Africa","GHA","Ghana","Volta","7.25","7.55","7.88","Pessimistic"
"Africa","GHA","Ghana","Western","7.68","7.93","8.2","Pessimistic"
"Africa","GIN","Guinea","Boke","3.66","3.85","4.07","Pessimistic"
"Africa","GIN","Guinea","Conakry","2.96","3.09","3.24","Pessimistic"
"Africa","GIN","Guinea","Faranah","5.52","5.76","6.02","Pessimistic"
"Africa","GIN","Guinea","Kankan","5.19","5.47","5.8","Pessimistic"
"Africa","GIN","Guinea","Kindia","5.18","5.46","5.78","Pessimistic"
"Africa","GIN","Guinea","Labe","3.49","3.67","3.88","Pessimistic"
"Africa","GIN","Guinea","Mamou","4.17","4.43","4.72","Pessimistic"
"Africa","GIN","Guinea","Nzerekore","12.41","13.19","14.08","Pessimistic"
"Africa","GMB","Gambia","Central River","1.8","1.9","2.02","Pessimistic"
"Africa","GMB","Gambia","Kanifing Municipal Council","1.5","1.85","2.4","Pessimistic"
"Africa","GMB","Gambia","Lower River","1.79","1.89","2.01","Pessimistic"
"Africa","GMB","Gambia","North Bank","1.79","1.89","2.01","Pessimistic"
"Africa","GMB","Gambia","Upper River","1.8","1.9","2.02","Pessimistic"
"Africa","GMB","Gambia","West Coast","1.72","1.86","2.03","Pessimistic"
"Africa","GNB","Guinea-Bissau","Bafata","2.49","2.68","2.9","Pessimistic"
"Africa","GNB","Guinea-Bissau","Biombo","2.5","2.69","2.91","Pessimistic"
"Africa","GNB","Guinea-Bissau","Bissau","1.89","2.02","2.17","Pessimistic"
"Africa","GNB","Guinea-Bissau","Bolama","2.5","2.69","2.91","Pessimistic"
"Africa","GNB","Guinea-Bissau","Cacheu","1.92","2.04","2.17","Pessimistic"
"Africa","GNB","Guinea-Bissau","Gabu","2.5","2.69","2.91","Pessimistic"
"Africa","GNB","Guinea-Bissau","Oio","1.92","2.04","2.18","Pessimistic"
"Africa","GNB","Guinea-Bissau","Quinara","1.94","2.05","2.18","Pessimistic"
"Africa","GNB","Guinea-Bissau","Tombali","2.49","2.68","2.9","Pessimistic"
"Africa","GNQ","Equatorial Guinea","Annobon","1.55","1.83","2.24","Pessimistic"
"Africa","GNQ","Equatorial Guinea","Bioko Norte","1.55","1.83","2.24","Pessimistic"
"Africa","GNQ","Equatorial Guinea","Bioko Sur","1.55","1.83","2.24","Pessimistic"
"Africa","GNQ","Equatorial Guinea","Centro Sur","12.3","12.98","13.74","Pessimistic"
"Africa","GNQ","Equatorial Guinea","Kie-Ntem","13.55","14.09","14.66","Pessimistic"
"Africa","GNQ","Equatorial Guinea","Litoral","7.41","7.7","8.03","Pessimistic"
"Africa","GNQ","Equatorial Guinea","Wele-Nzas","8.25","8.58","8.95","Pessimistic"
"Africa","KEN","Kenya","Baringo","1.82","1.93","2.06","Pessimistic"
"Africa","KEN","Kenya","Bomet","1.84","1.94","2.05","Pessimistic"
"Africa","KEN","Kenya","Bungoma","3.44","3.59","3.76","Pessimistic"
"Africa","KEN","Kenya","Busia","13.2","13.94","14.78","Pessimistic"
"Africa","KEN","Kenya","Elgeyo-Marakwet","1.81","1.92","2.05","Pessimistic"
"Africa","KEN","Kenya","Embu","1.82","1.94","2.06","Pessimistic"
"Africa","KEN","Kenya","Garissa","1.81","1.92","2.04","Pessimistic"
"Africa","KEN","Kenya","Homa Bay","8.11","8.53","8.99","Pessimistic"
"Africa","KEN","Kenya","Isiolo","1.81","1.92","2.05","Pessimistic"
"Africa","KEN","Kenya","Kajiado","1.77","1.91","2.09","Pessimistic"
"Africa","KEN","Kenya","Kakamega","5.46","5.72","6","Pessimistic"
"Africa","KEN","Kenya","Kericho","2.3","2.44","2.6","Pessimistic"
"Africa","KEN","Kenya","Kiambu","1.64","1.86","2.14","Pessimistic"
"Africa","KEN","Kenya","Kilifi","2.3","2.44","2.6","Pessimistic"
"Africa","KEN","Kenya","Kirinyaga","1.82","1.93","2.06","Pessimistic"
"Africa","KEN","Kenya","Kisii","3.61","3.78","3.96","Pessimistic"
"Africa","KEN","Kenya","Kisumu","5.14","5.37","5.62","Pessimistic"
"Africa","KEN","Kenya","Kitui","1.82","1.93","2.06","Pessimistic"
"Africa","KEN","Kenya","Kwale","1.86","1.96","2.08","Pessimistic"
"Africa","KEN","Kenya","Laikipia","1.72","1.87","2.04","Pessimistic"
"Africa","KEN","Kenya","Lake Victoria","24.09","26.57","29.63","Pessimistic"
"Africa","KEN","Kenya","Lamu","1.82","1.93","2.05","Pessimistic"
"Africa","KEN","Kenya","Machakos","1.77","1.92","2.09","Pessimistic"
"Africa","KEN","Kenya","Makueni","1.82","1.93","2.05","Pessimistic"
"Africa","KEN","Kenya","Mandera","1.82","1.93","2.06","Pessimistic"
"Africa","KEN","Kenya","Marsabit","1.88","1.98","2.1","Pessimistic"
"Africa","KEN","Kenya","Meru","1.84","1.94","2.06","Pessimistic"
"Africa","KEN","Kenya","Migori","3.63","3.79","3.97","Pessimistic"
"Africa","KEN","Kenya","Mombasa","1.82","1.93","2.06","Pessimistic"
"Africa","KEN","Kenya","Murang'a","1.82","1.93","2.06","Pessimistic"
"Africa","KEN","Kenya","Nairobi","1.52","1.83","2.31","Pessimistic"
"Africa","KEN","Kenya","Nakuru","1.81","1.92","2.05","Pessimistic"
"Africa","KEN","Kenya","Nandi","2.44","2.56","2.68","Pessimistic"
"Africa","KEN","Kenya","Narok","1.62","1.85","2.16","Pessimistic"
"Africa","KEN","Kenya","Nyamira","3.13","3.27","3.43","Pessimistic"
"Africa","KEN","Kenya","Nyandarua","1.52","1.83","2.31","Pessimistic"
"Africa","KEN","Kenya","Nyeri","1.76","1.91","2.09","Pessimistic"
"Africa","KEN","Kenya","Samburu","1.81","1.92","2.05","Pessimistic"
"Africa","KEN","Kenya","Siaya","40+","40+","40+","Pessimistic"
"Africa","KEN","Kenya","Taita Taveta","1.83","1.94","2.06","Pessimistic"
"Africa","KEN","Kenya","Tana River","1.85","1.95","2.06","Pessimistic"
"Africa","KEN","Kenya","Tharaka-Nithi","1.76","1.91","2.09","Pessimistic"
"Africa","KEN","Kenya","Trans Nzoia","2.41","2.53","2.66","Pessimistic"
"Africa","KEN","Kenya","Turkana","2.44","2.56","2.69","Pessimistic"
"Africa","KEN","Kenya","Uasin Gishu","1.85","1.96","2.07","Pessimistic"
"Africa","KEN","Kenya","Vihiga","6.47","6.76","7.07","Pessimistic"
"Africa","KEN","Kenya","Wajir","1.81","1.92","2.05","Pessimistic"
"Africa","KEN","Kenya","West Pokot","3.02","3.15","3.3","Pessimistic"
"Africa","LBR","Liberia","Bomi","19.58","21.09","22.85","Pessimistic"
"Africa","LBR","Liberia","Bong","40+","40+","40+","Pessimistic"
"Africa","LBR","Liberia","Gbapolu","32.73","36.77","40+","Pessimistic"
"Africa","LBR","Liberia","Grand Bassa","20.68","22.37","24.36","Pessimistic"
"Africa","LBR","Liberia","Grand Cape Mount","20.23","21.84","23.73","Pessimistic"
"Africa","LBR","Liberia","Grand Gedeh","27.54","30.62","34.48","Pessimistic"
"Africa","LBR","Liberia","Grand Kru","39.27","40+","40+","Pessimistic"
"Africa","LBR","Liberia","Lofa","11.32","11.84","12.4","Pessimistic"
"Africa","LBR","Liberia","Margibi","12.83","13.49","14.23","Pessimistic"
"Africa","LBR","Liberia","Maryland","11.4","11.92","12.5","Pessimistic"
"Africa","LBR","Liberia","Montserrado","5.87","6.09","6.34","Pessimistic"
"Africa","LBR","Liberia","Nimba","33.38","37.58","40+","Pessimistic"
"Africa","LBR","Liberia","River Cess","28.01","31.2","35.21","Pessimistic"
"Africa","LBR","Liberia","River Gee","40+","40+","40+","Pessimistic"
"Africa","LBR","Liberia","Sinoe","40+","40+","40+","Pessimistic"
"Africa","MDG","Madagascar","Alaotra Mangoro","2.1","2.21","2.32","Pessimistic"
"Africa","MDG","Madagascar","Amoron I Mania","1.69","1.76","1.84","Pessimistic"
"Africa","MDG","Madagascar","Analamanga","1.69","1.76","1.85","Pessimistic"
"Africa","MDG","Madagascar","Analanjirofo","2.7","2.81","2.93","Pessimistic"
"Africa","MDG","Madagascar","Androy","1.69","1.77","1.85","Pessimistic"
"Africa","MDG","Madagascar","Anosy","2.17","2.26","2.35","Pessimistic"
"Africa","MDG","Madagascar","Atsimo Andrefana","3.35","3.49","3.65","Pessimistic"
"Africa","MDG","Madagascar","Atsimo Atsinanana","3.29","3.43","3.59","Pessimistic"
"Africa","MDG","Madagascar","Atsinanana","2.75","2.86","2.98","Pessimistic"
"Africa","MDG","Madagascar","Betsiboka","2.15","2.24","2.33","Pessimistic"
"Africa","MDG","Madagascar","Boeny","2.15","2.23","2.32","Pessimistic"
"Africa","MDG","Madagascar","Bongolava","1.71","1.78","1.85","Pessimistic"
"Africa","MDG","Madagascar","Diana","1.69","1.77","1.85","Pessimistic"
"Africa","MDG","Madagascar","Haute Matsiatra","1.68","1.76","1.84","Pessimistic"
"Africa","MDG","Madagascar","Ihorombe","2.69","2.8","2.92","Pessimistic"
"Africa","MDG","Madagascar","Itasy","1.71","1.78","1.86","Pessimistic"
